" ","AAgroFood","AMining","AEnergy","AMetMinPr","AManufact","AConst","AUtility","ATrade","ATransCom","AOthServ","CAgroFood","CMining","CEnergy","CMetMinPr","CManufact","CConst","CUtility","CTrade","CTransCom","COthServ","UnSkLab","SkLab","Capital","Land","Water","ENT","HH","Govt","Itax","TTax","DTax","CapAcct","ROW","Total"
"Water",0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
"ENT",0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3447.218000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3447.218000000
"HH",0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,693.000000000,693.000000000,0.000000000,0.000000000,0.000000000,2615.518000000,0.000000000,453.000000000,0.000000000,0.000000000,0.000000000,0.000000000,127.308000000,4581.826000000
"Govt",0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,177.000000000,283.620900000,958.385200000,0.000000000,209.414200000,1628.420300000
"Itax",0.003097510,0.001512130,3.948257480,4.090250410,2.581691820,23.271029040,0.000000000,6.051407800,121.621800000,15.430950510,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,176.999996700
"TTax",0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,7.419145750,2.114226500,7.181208390,3.764869280,22.900122090,0.000007860,0.022116050,7.473056710,225.343100000,7.403044990,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,283.620897620
"DTax",0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,93.344566380,0.627638250,18.487678640,10.516344950,27.648821230,0.001654890,7.580178260,54.950586100,24.926396380,38.295203610,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,122.286100000,434.611300000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,125.108800000,958.385268690
"CapAcct",0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,866.000000000,893.214400000,216.420400000,0.000000000,0.000000000,0.000000000,0.000000000,817.365200000,2793.000000000
"ROW",0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,169.517425330,32.012257270,152.614922630,76.912326990,632.227170660,0.000191960,0.377016210,121.782484450,2606.366000000,165.190693050,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,821.196200000,157.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4935.196688550
"Total",1429.358375980,1299.349355450,211.645723350,314.344134060,774.209694180,681.864095890,567.651343730,1160.531400530,1992.317168050,3409.722489070,2677.421941070,1334.103322020,389.929509790,405.537672330,1456.985772090,681.865954710,575.630710520,1344.737527260,4848.952496380,3620.611941650,693.000000000,693.000000000,3447.218000000,0.000000000,0.000000000,4425.000300000,4581.825550210,1628.421358630,177.000000000,283.620900000,958.385200000,2792.999572750,4935.196126130,53792.437635830
